,APINumber,date,published,UploadKey
41,05013066360000,2011-05-09,2013-07-31 20:57:03.532694,SKY_pdf_27645_13
42,05013066370000,2011-05-03,2013-07-31 22:14:42.455222,SKY_pdf_27674_13
43,05013066380000,2011-05-03,2013-07-31 22:32:49.210537,SKY_pdf_27675_13
44,05013066410000,2011-05-09,2013-07-31 20:57:02.704285,SKY_pdf_27646_13
45,05013066670000,2012-08-02,2013-07-31 22:14:45.424036,SKY_pdf_30790_13
46,05014206570000,2011-01-12,2013-07-31 21:34:33.860093,SKY_pdf_28892_13
47,05014206580000,2011-01-10,2013-07-31 22:04:30.770785,SKY_pdf_28902_13
48,05014206700000,2011-11-22,2013-07-31 21:12:52.811524,SKY_pdf_26120_13
49,05014206710000,2011-11-22,2013-07-31 21:13:55.371777,SKY_pdf_26119_13
50,05014206790000,2012-03-02,2013-07-31 21:34:36.099267,SKY_pdf_25229_13
51,05014206850000,2012-03-02,2013-07-31 22:32:44.869172,SKY_pdf_25230_13
52,05014206870000,2012-03-01,2013-07-31 22:32:43.036647,SKY_pdf_25238_13
53,05014206950000,2011-01-03,2013-07-31 20:56:43.218401,SKY_pdf_28983_13
54,05014207000000,2011-12-05,2013-07-31 22:06:21.162081,SKY_pdf_26027_13
55,05014207010000,2011-11-22,2013-07-31 21:36:54.613601,SKY_pdf_26121_13
56,05014207030000,2011-12-05,2013-07-31 22:34:17.867013,SKY_pdf_26025_13
57,05014207040000,2011-12-05,2013-07-31 22:15:15.068676,SKY_pdf_26026_13
58,05014207070000,2011-11-22,2013-07-31 22:35:04.984625,SKY_pdf_26118_13
59,05014207090000,2011-06-20,2013-07-31 22:33:31.372796,SKY_pdf_27369_13
60,05014207100000,2011-06-23,2013-07-31 22:05:29.417181,SKY_pdf_27319_13
61,05014207110000,2012-03-02,2013-07-31 21:34:43.592652,SKY_pdf_25228_13
62,05014207120000,2012-03-01,2013-07-31 22:32:43.678287,SKY_pdf_25237_13
63,05014207130000,2012-03-01,2013-07-31 21:34:35.469850,SKY_pdf_25239_13
64,05029061070000,2012-09-19,2013-07-31 22:12:16.453859,SKY_pdf_37730_13
65,05029061070000,2012-10-11,2013-07-31 22:12:17.147567,SKY_pdf_37729_13
66,05041060650000,2012-04-10,2013-07-31 21:46:42.554374,SKY_pdf_24884_13
67,05045065720000,2011-09-25,2013-07-31 22:05:23.076686,SKY_pdf_26638_13
68,05045126770000,2012-02-25,2013-07-31 22:27:17.292906,SKY_pdf_25287_13
69,05045126820000,2012-02-25,2013-07-31 20:56:53.903086,SKY_pdf_25288_13
70,05045126830000,2012-02-18,2013-07-31 22:33:05.447013,SKY_pdf_25353_13
71,05045126840000,2012-02-21,2013-07-31 22:05:12.549347,SKY_pdf_25331_13
72,05045136480000,2012-06-15,2013-07-31 20:50:00.221944,SKY_pdf_36433_13
73,05045138790000,2012-02-20,2013-07-31 22:33:01.120847,SKY_pdf_25342_13
74,05045138840000,2012-02-18,2013-07-31 22:04:59.195176,SKY_pdf_25354_13
75,05045149910000,2011-03-25,2013-07-31 22:33:01.674495,SKY_pdf_28097_13
76,05045149920000,2011-03-08,2013-07-31 22:33:10.673135,SKY_pdf_28333_13
77,05045149940000,2011-03-24,2013-07-31 21:34:56.727530,SKY_pdf_28103_13
78,05045149950000,2011-03-24,2013-07-31 20:57:11.318680,SKY_pdf_28104_13
79,05045150640000,2012-02-16,2013-07-31 20:55:48.814823,SKY_pdf_25379_13
80,05045150650000,2012-02-16,2013-07-31 22:27:33.232878,SKY_pdf_25378_13
81,05045150660000,2012-02-17,2013-07-31 21:34:58.052388,SKY_pdf_25361_13
82,05045150670000,2012-02-16,2013-07-31 22:05:02.845378,SKY_pdf_25376_13
83,05045150680000,2012-02-17,2013-07-31 21:11:24.757162,SKY_pdf_25366_13
84,05045150690000,2012-02-16,2013-07-31 22:04:43.628122,SKY_pdf_25377_13
85,05045151630000,2012-01-22,2013-07-31 22:32:07.875365,SKY_pdf_25595_13
86,05045151650000,2012-01-22,2013-07-31 21:34:02.486085,SKY_pdf_25596_13
87,05045161590000,2012-11-05,2013-07-31 20:50:26.476513,SKY_pdf_36002_13
88,05045182570000,2011-06-07,2013-07-31 22:15:07.559880,SKY_pdf_27471_13
89,05045182580000,2011-06-02,2013-07-31 21:34:49.364079,SKY_pdf_27514_13
90,05045185350000,2011-05-11,2013-07-31 22:32:58.543953,SKY_pdf_27631_13
91,05045185360000,2011-05-14,2013-07-31 22:04:52.270673,SKY_pdf_27620_13
92,05045185370000,2011-05-16,2013-07-31 22:32:59.132390,SKY_pdf_27611_13
93,05045185380000,2011-05-11,2013-07-31 22:04:51.682395,SKY_pdf_27636_13
94,05045185390000,2011-05-14,2013-07-31 20:57:04.530985,SKY_pdf_27622_13
95,05045186940000,2012-01-23,2013-07-31 21:34:03.030814,SKY_pdf_25586_13
96,05045186990000,2012-01-23,2013-07-31 22:27:16.184918,SKY_pdf_25587_13
97,05045187010000,2012-02-04,2013-07-31 22:32:06.733513,SKY_pdf_25493_13
98,05045187020000,2012-02-04,2013-07-31 21:33:59.163367,SKY_pdf_25492_13
99,05045187030000,2012-01-30,2013-07-31 21:33:57.944093,SKY_pdf_25528_13
100,05045187040000,2012-01-29,2013-07-31 22:03:45.447588,SKY_pdf_25535_13
101,05045187050000,2012-01-24,2013-07-31 22:03:52.148855,SKY_pdf_25571_13
102,05045187080000,2011-04-21,2013-07-31 21:34:49.990323,SKY_pdf_27769_13
103,05045187110000,2011-04-21,2013-07-31 22:04:50.352415,SKY_pdf_27770_13
104,05045188580000,2011-01-10,2013-07-31 20:56:39.982490,SKY_pdf_28904_13
105,05045188830000,2011-01-10,2013-07-31 20:56:40.628092,SKY_pdf_28903_13
106,05045188860000,2011-03-09,2013-07-31 22:33:08.886424,SKY_pdf_28305_13
107,05045188880000,2011-02-21,2013-07-31 21:57:28.806239,SKY_pdf_28508_13
108,05045188920000,2010-12-28,2013-07-31 22:04:33.514521,SKY_pdf_28989_13
109,05045188970000,2011-01-13,2013-07-31 21:11:24.191493,SKY_pdf_28866_13
110,05045189080000,2010-12-28,2013-07-31 21:57:27.935769,SKY_pdf_28988_13
111,05045189160000,2011-03-14,2013-07-31 20:57:13.732354,SKY_pdf_28228_13
112,05045190840000,2010-10-01,2013-07-31 22:41:17.267279,SKY_pdf_29095_13
113,05045191140000,2010-12-14,2013-07-31 21:34:37.760097,SKY_pdf_29024_13
114,05045191150000,2010-12-14,2013-07-31 20:56:45.186980,SKY_pdf_29022_13
115,05045191170000,2010-12-14,2013-07-31 22:32:45.518443,SKY_pdf_29023_13
116,05045191200000,2010-12-15,2013-07-31 22:41:16.741691,SKY_pdf_29021_13
117,05045191210000,2011-05-24,2013-07-31 22:32:55.526920,SKY_pdf_27565_13
118,05045191220000,2011-05-24,2013-07-31 22:04:47.032242,SKY_pdf_27564_13
119,05045191230000,2011-05-07,2013-07-31 21:34:57.360414,SKY_pdf_27662_13
120,05045191240000,2011-05-23,2013-07-31 22:04:45.639541,SKY_pdf_27572_13
121,05045191250000,2011-05-23,2013-07-31 20:56:58.038433,SKY_pdf_27571_13
122,05045191260000,2011-05-23,2013-07-31 22:04:45.055287,SKY_pdf_27573_13
123,05045191270000,2011-05-24,2013-07-31 22:32:56.057360,SKY_pdf_27563_13
124,05045191560000,2011-02-07,2013-07-31 22:04:27.330268,SKY_pdf_28653_13
125,05045191570000,2011-01-14,2013-07-31 20:56:36.413089,SKY_pdf_28861_13
126,05045191580000,2011-05-02,2013-07-31 20:56:50.906985,SKY_pdf_27686_13
127,05045191600000,2011-01-14,2013-07-31 21:34:34.477290,SKY_pdf_28862_13
128,05045191610000,2011-02-07,2013-07-31 20:56:33.177568,SKY_pdf_28654_13
129,05045191620000,2011-01-12,2013-07-31 22:14:41.964703,SKY_pdf_28894_13
130,05045191630000,2011-04-21,2013-07-31 22:04:49.711475,SKY_pdf_27771_13
131,05045191640000,2011-04-26,2013-07-31 22:33:53.372232,SKY_pdf_27727_13
132,05045191660000,2011-01-12,2013-07-31 21:00:37.160721,SKY_pdf_28893_13
133,05045191690000,2011-06-01,2013-07-31 22:04:49.085862,SKY_pdf_27521_13
134,05045192830000,2011-01-18,2013-07-31 21:46:48.914909,SKY_pdf_28822_13
135,05045194750000,2011-04-11,2013-07-31 21:34:54.178248,SKY_pdf_27889_13
136,05045195050000,2012-06-29,2013-07-31 22:33:59.901954,SKY_pdf_24204_13
137,05045195060000,2012-01-30,2013-07-31 21:00:31.378012,SKY_pdf_25530_13
138,05045195070000,2011-05-16,2013-07-31 22:04:52.891296,SKY_pdf_27610_13
139,05045195090000,2011-04-22,2013-07-31 22:32:56.659335,SKY_pdf_27762_13
140,05045195110000,2011-04-30,2013-07-31 20:57:09.450289,SKY_pdf_27698_13
141,05045195120000,2012-06-18,2013-07-31 21:14:26.006227,SKY_pdf_24402_13
142,05045195140000,2012-01-01,2013-07-31 22:04:04.650154,SKY_pdf_25786_13
143,05045195150000,2012-02-26,2013-07-31 21:34:44.877479,SKY_pdf_25282_13
144,05045195180000,2012-08-08,2013-07-31 21:58:04.020745,SKY_pdf_23828_13
145,05045195190000,2012-01-30,2013-07-31 20:55:59.584755,SKY_pdf_25529_13
146,05045195220000,2011-04-14,2013-07-31 22:04:53.545277,SKY_pdf_27847_13
147,05045195240000,2012-06-18,2013-07-31 22:06:50.171559,SKY_pdf_24403_13
148,05045195250000,2012-06-22,2013-07-31 21:12:36.695841,SKY_pdf_24292_13
149,05045195270000,2011-05-17,2013-07-31 21:57:48.547692,SKY_pdf_27601_13
150,05045195280000,2012-06-30,2013-07-31 22:34:52.781690,SKY_pdf_24179_13
151,05045195320000,2012-06-23,2013-07-31 21:12:40.061165,SKY_pdf_24287_13
152,05045195330000,2012-06-22,2013-07-31 21:36:26.896889,SKY_pdf_24293_13
153,05045195350000,2012-06-30,2013-07-31 22:06:50.875959,SKY_pdf_24180_13
154,05045195360000,2011-05-09,2013-07-31 20:57:01.649408,SKY_pdf_27650_13
155,05045195370000,2011-04-21,2013-07-31 20:56:59.837380,SKY_pdf_27768_13
156,05045195380000,2012-06-16,2013-07-31 21:15:13.102356,SKY_pdf_24414_13
157,05045195390000,2012-06-29,2013-07-31 21:35:53.170355,SKY_pdf_24205_13
158,05045195400000,2011-12-31,2013-07-31 21:38:22.490473,SKY_pdf_25789_13
159,05045195410000,2012-02-26,2013-07-31 22:04:42.314825,SKY_pdf_25281_13
160,05045195420000,2012-06-16,2013-07-31 21:12:49.434147,SKY_pdf_24413_13
161,05045195430000,2011-05-09,2013-07-31 21:34:50.558402,SKY_pdf_27649_13
162,05045195460000,2011-04-22,2013-07-31 22:32:57.259040,SKY_pdf_27761_13
163,05045195470000,2012-06-22,2013-07-31 21:38:39.031796,SKY_pdf_24291_13
164,05045195480000,2011-05-09,2013-07-31 21:38:32.899372,SKY_pdf_27648_13
165,05045195490000,2011-05-16,2013-07-31 21:34:51.775877,SKY_pdf_27609_13
166,05045195500000,2012-08-06,2013-07-31 21:16:11.609893,SKY_pdf_23832_13
167,05045195510000,2011-04-29,2013-07-31 21:34:54.727990,SKY_pdf_27702_13
168,05045195520000,2011-04-29,2013-07-31 20:57:36.222415,SKY_pdf_27703_13
169,05045195530000,2011-05-17,2013-07-31 22:32:59.686533,SKY_pdf_27602_13
170,05045195600000,2012-02-26,2013-07-31 20:56:54.617318,SKY_pdf_25283_13
171,05045195810000,2011-09-26,2013-07-31 21:11:35.940434,SKY_pdf_26629_13
172,05045195820000,2011-09-25,2013-07-31 21:11:40.417737,SKY_pdf_26643_13
173,05045195850000,2011-09-25,2013-07-31 22:27:22.412366,SKY_pdf_26642_13
174,05045195890000,2011-09-23,2013-07-31 22:33:24.595321,SKY_pdf_26652_13
175,05045196450000,2011-11-29,2013-07-31 22:06:38.929898,SKY_pdf_26084_13
176,05045196460000,2011-11-29,2013-07-31 22:07:53.445250,SKY_pdf_26083_13
177,05045196480000,2011-11-27,2013-07-31 21:15:56.558300,SKY_pdf_26108_13
178,05045196500000,2011-11-29,2013-07-31 21:36:34.109107,SKY_pdf_26082_13
179,05045196530000,2011-10-12,2013-07-31 22:05:43.147078,SKY_pdf_26499_13
180,05045196540000,2011-10-11,2013-07-31 21:12:00.541286,SKY_pdf_26510_13
181,05045196550000,2011-10-10,2013-07-31 21:35:41.684046,SKY_pdf_26521_13
182,05045196560000,2011-10-11,2013-07-31 22:05:47.516317,SKY_pdf_26508_13
183,05045196570000,2011-10-11,2013-07-31 22:05:46.839077,SKY_pdf_26509_13
184,05045196580000,2011-10-12,2013-07-31 21:35:39.783162,SKY_pdf_26498_13
185,05045196860000,2012-05-02,2013-07-31 22:33:48.364230,SKY_pdf_24749_13
186,05045196870000,2012-05-23,2013-07-31 22:33:13.398654,SKY_pdf_24609_13
187,05045196880000,2012-05-02,2013-07-31 22:41:25.055948,SKY_pdf_24748_13
188,05045196890000,2012-05-23,2013-07-31 22:05:06.690522,SKY_pdf_24612_13
189,05045196900000,2012-05-23,2013-07-31 22:33:12.659510,SKY_pdf_24611_13
190,05045196910000,2012-05-02,2013-07-31 20:57:22.903271,SKY_pdf_24747_13
191,05045196920000,2012-05-23,2013-07-31 21:11:27.700657,SKY_pdf_24610_13
192,05045196930000,2012-05-15,2013-07-31 21:35:05.689747,SKY_pdf_24665_13
193,05045196940000,2012-05-02,2013-07-31 22:05:48.961663,SKY_pdf_24750_13
194,05045197510000,2011-09-12,2013-07-31 21:15:54.892748,SKY_pdf_26747_13
195,05045197540000,2011-09-12,2013-07-31 21:35:12.163709,SKY_pdf_26748_13
196,05045197740000,2011-09-14,2013-07-31 20:57:17.113783,SKY_pdf_26722_13
197,05045197780000,2011-09-14,2013-07-31 21:35:14.524086,SKY_pdf_26723_13
198,05045197790000,2011-09-13,2013-07-31 22:05:19.711339,SKY_pdf_26736_13
199,05045198330000,2012-08-11,2013-07-31 21:16:52.970249,SKY_pdf_30781_13
200,05045198360000,2012-08-11,2013-07-31 22:14:55.711671,SKY_pdf_30780_13
201,05045198460000,2012-08-16,2013-07-31 22:06:25.176950,SKY_pdf_23792_13
202,05045198470000,2012-08-17,2013-07-31 21:36:17.936484,SKY_pdf_23790_13
203,05045198490000,2012-08-17,2013-07-31 22:06:24.459913,SKY_pdf_23789_13
204,05045199080000,2012-01-15,2013-07-31 20:56:07.692392,SKY_pdf_25656_13
205,05045199090000,2012-02-14,2013-07-31 22:03:34.250769,SKY_pdf_25407_13
206,05045199100000,2012-01-15,2013-07-31 22:03:55.465504,SKY_pdf_25655_13
207,05045199110000,2012-02-14,2013-07-31 21:33:43.984419,SKY_pdf_25406_13
208,05045199120000,2012-01-15,2013-07-31 21:57:24.213791,SKY_pdf_25654_13
209,05045199130000,2012-01-15,2013-07-31 21:38:25.121655,SKY_pdf_25657_13
210,05045199140000,2012-01-15,2013-07-31 22:04:03.444798,SKY_pdf_25658_13
211,05045199150000,2012-02-13,2013-07-31 21:00:33.258437,SKY_pdf_25421_13
212,05045199160000,2012-02-14,2013-07-31 22:03:34.864222,SKY_pdf_25403_13
213,05045199170000,2011-12-14,2013-07-31 21:57:53.968370,SKY_pdf_25929_13
214,05045199180000,2011-12-16,2013-07-31 22:33:59.308281,SKY_pdf_25907_13
215,05045199190000,2011-12-15,2013-07-31 21:12:13.687399,SKY_pdf_25920_13
216,05045199200000,2012-02-14,2013-07-31 22:31:54.780526,SKY_pdf_25404_13
217,05045199210000,2011-12-16,2013-07-31 21:35:50.588663,SKY_pdf_25908_13
218,05045199220000,2012-02-13,2013-07-31 22:31:54.046016,SKY_pdf_25422_13
219,05045199230000,2012-01-15,2013-07-31 21:34:12.019063,SKY_pdf_25659_13
220,05045200070000,2011-01-31,2013-07-31 21:00:34.112667,SKY_pdf_28704_13
221,05045200080000,2011-07-25,2013-07-31 21:35:16.897158,SKY_pdf_27136_13
222,05045200090000,2011-07-21,2013-07-31 22:05:26.500364,SKY_pdf_27167_13
223,05045200100000,2011-06-30,2013-07-31 21:35:19.347553,SKY_pdf_27282_13
224,05045200140000,2011-07-08,2013-07-31 21:35:18.211672,SKY_pdf_27245_13
225,05045200150000,2011-07-22,2013-07-31 22:33:27.590193,SKY_pdf_27154_13
226,05045200160000,2011-07-07,2013-07-31 21:46:53.439113,SKY_pdf_27256_13
227,05045200180000,2011-07-16,2013-07-31 22:33:28.143613,SKY_pdf_27203_13
228,05045200190000,2011-06-30,2013-07-31 21:35:18.778065,SKY_pdf_27283_13
229,05045200210000,2011-07-20,2013-07-31 21:00:43.744532,SKY_pdf_27174_13
230,05045200220000,2011-07-16,2013-07-31 22:05:27.098689,SKY_pdf_27204_13
231,05045200250000,2011-06-14,2013-07-31 20:57:25.263912,SKY_pdf_27426_13
232,05045201190000,2012-04-02,2013-07-31 21:15:54.165638,SKY_pdf_24942_13
233,05045201200000,2012-03-09,2013-07-31 21:34:32.662060,SKY_pdf_25175_13
234,05045201210000,2012-04-04,2013-07-31 22:14:38.731797,SKY_pdf_24927_13
235,05045201220000,2012-04-05,2013-07-31 21:50:49.320031,SKY_pdf_24918_13
236,05045201230000,2012-04-03,2013-07-31 22:03:38.547464,SKY_pdf_24933_13
237,05045201240000,2012-03-08,2013-07-31 22:04:30.110391,SKY_pdf_25184_13
238,05045201250000,2012-04-05,2013-07-31 21:33:44.706302,SKY_pdf_24911_13
239,05045201260000,2012-03-09,2013-07-31 22:04:28.618527,SKY_pdf_25176_13
240,05045201270000,2012-03-07,2013-07-31 20:56:37.843991,SKY_pdf_25195_13
241,05045201280000,2012-03-09,2013-07-31 21:00:38.598471,SKY_pdf_25174_13
242,05045201680000,2011-08-03,2013-07-31 20:57:35.633035,SKY_pdf_27053_13
243,05045201710000,2011-08-03,2013-07-31 22:34:44.535263,SKY_pdf_27056_13
244,05045201740000,2011-08-07,2013-07-31 22:34:26.549809,SKY_pdf_27022_13
245,05045201790000,2011-08-03,2013-07-31 22:06:46.928760,SKY_pdf_27054_13
246,05045201800000,2011-08-07,2013-07-31 21:36:11.750952,SKY_pdf_27023_13
247,05045201820000,2011-08-03,2013-07-31 22:33:26.321273,SKY_pdf_27055_13
248,05045201850000,2012-02-18,2013-07-31 20:57:12.980405,SKY_pdf_25355_13
249,05045201860000,2012-02-17,2013-07-31 22:33:07.203143,SKY_pdf_25364_13
250,05045201870000,2012-02-17,2013-07-31 22:05:00.763766,SKY_pdf_25362_13
251,05045201880000,2012-02-17,2013-07-31 21:34:59.311562,SKY_pdf_25363_13
252,05045202060000,2011-08-23,2013-07-31 21:57:49.391088,SKY_pdf_26891_13
253,05045202070000,2011-09-17,2013-07-31 22:05:48.161639,SKY_pdf_26699_13
254,05045202110000,2011-09-05,2013-07-31 22:14:51.292069,SKY_pdf_26803_13
255,05045202610000,2011-08-08,2013-07-31 21:35:19.868788,SKY_pdf_27011_13
256,05045203250000,2011-08-30,2013-07-31 22:05:23.912904,SKY_pdf_26836_13
257,05045203260000,2011-09-27,2013-07-31 21:11:36.605780,SKY_pdf_26616_13
258,05045203950000,2011-06-01,2013-07-31 20:56:59.010835,SKY_pdf_27520_13
259,05045204490000,2012-10-26,2013-07-31 22:13:26.057598,SKY_pdf_35586_13
260,05045204500000,2012-07-13,2013-07-31 22:34:24.731145,SKY_pdf_24069_13
261,05045204510000,2012-10-26,2013-07-31 21:28:47.461321,SKY_pdf_35585_13
262,05045204520000,2012-07-13,2013-07-31 22:06:25.988968,SKY_pdf_24068_13
263,05045204530000,2012-08-27,2013-07-31 21:46:55.385348,SKY_pdf_30770_13
264,05045204540000,2012-10-22,2013-07-31 20:50:48.743071,SKY_pdf_35589_13
265,05045204550000,2012-08-27,2013-07-31 22:27:39.388108,SKY_pdf_30773_13
266,05045204560000,2012-07-13,2013-07-31 21:36:19.926180,SKY_pdf_24070_13
267,05045204570000,2012-08-27,2013-07-31 21:46:54.615917,SKY_pdf_30772_13
268,05045204580000,2012-10-19,2013-07-31 21:28:46.743139,SKY_pdf_35590_13
269,05045204590000,2012-10-22,2013-07-31 20:50:49.498461,SKY_pdf_35588_13
270,05045204600000,2012-08-27,2013-07-31 21:11:43.291774,SKY_pdf_30771_13
271,05045204610000,2012-10-26,2013-07-31 21:28:48.193199,SKY_pdf_35584_13
272,05045204620000,2012-07-13,2013-07-31 21:12:35.066827,SKY_pdf_24067_13
273,05045204920000,2012-10-25,2013-07-31 20:48:55.877751,SKY_pdf_37193_13
274,05045205200000,2012-10-25,2013-07-31 20:50:50.260527,SKY_pdf_35587_13
275,05045206250000,2012-08-20,2013-07-31 22:33:30.547409,SKY_pdf_30776_13
276,05045206260000,2012-07-16,2013-07-31 22:34:13.406746,SKY_pdf_24035_13
277,05045206270000,2012-07-16,2013-07-31 22:34:21.438692,SKY_pdf_24034_13
278,05045206280000,2012-07-27,2013-07-31 21:35:56.610016,SKY_pdf_23915_13
279,05045206290000,2012-09-20,2013-07-31 20:50:47.927569,SKY_pdf_35592_13
280,05045206300000,2012-07-27,2013-07-31 22:06:07.268910,SKY_pdf_23914_13
281,05045206310000,2012-09-20,2013-07-31 21:28:45.198131,SKY_pdf_35594_13
282,05045206320000,2012-08-20,2013-07-31 22:33:29.911486,SKY_pdf_30775_13
283,05045206330000,2012-09-24,2013-07-31 22:28:37.177202,SKY_pdf_33046_13
284,05045206340000,2012-09-20,2013-07-31 20:50:47.042687,SKY_pdf_35593_13
285,05045206350000,2012-08-20,2013-07-31 22:14:57.192420,SKY_pdf_30774_13
286,05045206910000,2012-03-26,2013-07-31 21:38:31.601417,SKY_pdf_25005_13
287,05045206920000,2012-06-21,2013-07-31 22:27:26.798561,SKY_pdf_24325_13
288,05045206940000,2012-03-26,2013-07-31 22:32:46.705468,SKY_pdf_25001_13
289,05045206980000,2012-03-26,2013-07-31 21:34:41.638769,SKY_pdf_25012_13
290,05045206990000,2012-06-21,2013-07-31 22:07:13.651014,SKY_pdf_24326_13
291,05045207000000,2012-03-26,2013-07-31 22:32:46.042647,SKY_pdf_25004_13
292,05045207010000,2012-03-26,2013-07-31 21:34:42.329061,SKY_pdf_25010_13
293,05045207060000,2012-03-26,2013-07-31 21:33:56.081875,SKY_pdf_25000_13
294,05045207070000,2012-03-26,2013-07-31 20:56:45.741802,SKY_pdf_25009_13
295,05045207080000,2012-03-26,2013-07-31 22:04:34.842001,SKY_pdf_25006_13
296,05045207300000,2012-03-24,2013-07-31 22:31:57.825980,SKY_pdf_25054_13
297,05045207310000,2012-03-23,2013-07-31 21:34:28.689966,SKY_pdf_25061_13
298,05045207320000,2012-03-24,2013-07-31 20:55:54.087405,SKY_pdf_25053_13
299,05045207330000,2012-03-23,2013-07-31 21:34:27.961452,SKY_pdf_25062_13
300,05045207340000,2012-05-13,2013-07-31 22:05:16.795802,SKY_pdf_24675_13
301,05045207360000,2012-03-23,2013-07-31 20:55:55.392808,SKY_pdf_25060_13
302,05045207370000,2012-04-17,2013-07-31 21:11:51.078805,SKY_pdf_24829_13
303,05045207380000,2012-04-17,2013-07-31 21:16:01.195686,SKY_pdf_24830_13
304,05045207390000,2012-05-12,2013-07-31 22:05:16.065571,SKY_pdf_24678_13
305,05045207400000,2012-04-17,2013-07-31 22:05:33.758446,SKY_pdf_24828_13
306,05045207410000,2012-03-22,2013-07-31 22:32:37.472521,SKY_pdf_25071_13
307,05045207520000,2012-03-26,2013-07-31 21:33:54.606082,SKY_pdf_25019_13
308,05045207550000,2012-03-26,2013-07-31 20:56:49.083839,SKY_pdf_25023_13
309,05045207610000,2012-03-26,2013-07-31 20:56:48.103000,SKY_pdf_25025_13
310,05045207620000,2012-03-26,2013-07-31 21:34:39.701776,SKY_pdf_25017_13
311,05045207630000,2012-03-26,2013-07-31 21:33:53.808145,SKY_pdf_25024_13
312,05045207670000,2012-03-26,2013-07-31 22:04:37.397056,SKY_pdf_25018_13
313,05045207790000,2011-11-11,2013-07-31 22:06:27.636521,SKY_pdf_26233_13
314,05045207920000,2011-10-10,2013-07-31 22:33:46.395453,SKY_pdf_26518_13
315,05045208270000,2012-03-26,2013-07-31 21:11:20.324292,SKY_pdf_24991_13
316,05045208280000,2012-03-26,2013-07-31 21:34:40.418681,SKY_pdf_25016_13
